title,subtitle,date,category,link,main_category
How Jaguar's shifted gears with its concept car,The company has been at the centre of a media storm as a result of its radical revamp. ,2024-12-03,Business,https://www.bbc.com/news/videos/c2kxd0z537go,Business
Rachel Reeves 'deeply proud' to be UK's first female chancellor,The Chancellor has presented her first Budget in the Commons.,2024-10-30,Business,https://www.bbc.com/news/videos/c93qln8l44zo,Business
The twins cleaning London's unloved spaces,"Entrepreneurs James and John run a cleaning firm, but take it to the next level in their spare time.",2024-10-22,Business,https://www.bbc.com/news/videos/cn7y3d8v1n5o,Business
Key moments from former Post Office chief's three-day testimony,Paula Vennells faced three days of questions about her role in the wrongful prosecution of hundreds of sub-postmasters.,2024-05-25,Business,https://www.bbc.com/news/videos/cm55v9v2m7xo,Business
Ex-Post Office boss cries while giving evidence,Ex-Post Office boss Paula Vennells is speaking about the incident for the first time in ten years.,2024-05-22,Business,https://www.bbc.com/news/business-69047667,Business
Whistleblower claims Boeing supplier sent faulty parts,"Spirit AeroSystems supplied Boeing with faulty parts, a former quality inspector has told the BBC.",2024-05-09,Business,https://www.bbc.com/news/business-68980492,Business
Tatti Lashes: The school friends who built a beauty empire,Charlotte Tiplady and Elliot Barton explain how together they built up their Tatti Lashes beauty empire from Liverpool.,2024-05-01,Business,https://www.bbc.com/news/business-68903985,Business
Watch Ocado robots in action,Ocado has added robotic arms to its newest warehouse near Luton.,2024-04-23,Business,https://www.bbc.com/news/business-68682920,Business
BBC World News business headlines,The latest international business headlines from BBC World News.,2024-03-20,Business,https://www.bbc.com/news/business-11876811,Business
'I feel survivor's guilt' says Post Office victim,"Former sub-postmaster Jo Hamilton told BBC Breakfast she feels ""guilt"" after settling with the government over the Horizon IT scandal.",2024-03-05,Business,https://www.bbc.com/news/business-68478942,Business
Watch: 'My biggest financial regret is...',People in Kent share their finance stories ahead of Wednesday's Budget. Would you share yours?,2024-03-05,Business,https://www.bbc.com/news/business-68473711,Business
Issa brother to step back after 'fixing' Asda,"Mohsin Issa, one half of the so-called ""billionaire brothers"" who own Asda, says he plans to hand over the running of the UK's third biggest supermarket.",2024-03-01,Business,https://www.bbc.com/news/business-68443077,Business
'We had to adapt our robots to the AI revolution',Sandy Enoch of Robotical explains why he had to pivot his educational robot company due to AI.,2024-02-21,Business,https://www.bbc.com/news/business-68348353,Business
"'AI won't steal your job, but people using it may'","Hovhannes Avoyan, founder of picture and video editing app Picsart, shares his advice for our CEO Secrets series.",2024-02-14,Business,https://www.bbc.com/news/business-68283847,Business
'They thought it was a sex shop' - The Body Shop in the '80s,"Archive footage shows Dame Anita Roddick talking about her company's success, in an 1984 interview.",2024-02-14,Business,https://www.bbc.com/news/business-68282606,Business
CCTV shows violent raid on Co-op store,The retailer gave the footage to the BBC as it warned of a rise in attacks on retail staff.,2024-02-08,Business,https://www.bbc.com/news/business-68240714,Business
"Not that difficult to buy a home, says NatWest chair","Sir Howard Davies says he believes it is not currently ""that difficult"" for people to get on the housing ladder.",2024-01-05,Business,https://www.bbc.com/news/business-67892329,Business
'A viral Facebook post nearly blew up our business',"Joanna Jensen, founder of skincare brand Childs Farm, shares advice for start-ups for our CEO Secrets series.",2023-12-13,Business,https://www.bbc.com/news/business-67692431,Business
"Broadband rises must be 'clearer', says Ofcom boss",The regulator has plans to make mobile and broadband firms more upfront about mid-contract price rises.,2023-12-12,Business,https://www.bbc.com/news/business-67692155,Business
'This earring helped me build my £4bn business',"Richard Harpin, co-founder of Homeserve, explains how an earring taught him an early business lesson.",2023-12-06,Business,https://www.bbc.com/news/business-67625234,Business
Why 'digital twins' could speed up drug discovery,AI can create digital humans and digital organs that can be used in clinical trials.,2024-12-13,Business,https://www.bbc.com/news/articles/cq8v73dkne3o,Business
What is rage-baiting and why is it profitable?,"Called rage-baiting, making people angry with social media posts can be a business.",2024-12-10,Business,https://www.bbc.com/news/articles/c4gp555xy5ro,Business
Is AI any good at choosing gifts?,"With vast amounts of data do draw on, AI should be able to come up with good gift ideas, but does it?",2024-12-06,Business,https://www.bbc.com/news/articles/ckgxv7jk0z1o,Business
Why is vintage audio equipment booming?,"Music lovers are buying up old cassette, CD and record players and getting them fixed.",2024-12-03,Technology,https://www.bbc.com/news/articles/clyjvn658n6o,Business
The video game that defined the US,"The Oregon Trail was once the most widely distributed software in US schools. It gripped a generation and changed gaming forever, but debates rage on about the history it depicts.",2024-12-20,Future,https://www.bbc.com/future/article/20241219-the-oregon-trail-how-a-50-year-old-video-game-defined-america,Business
N Korea hackers stole $1.3bn of crypto this year - report,"Some incidents may be linked to North Korean IT workers infiltrating tech firms, according to research firm Chainalysis.",2024-12-20,Business,https://www.bbc.com/news/articles/cwy3dz0614jo,Business
BBC complains to Apple over misleading shooting headline,Apple's new artificial intelligence features falsely made it seem the BBC reported Luigi Mangione had shot himself.,2024-12-14,Technology,https://www.bbc.com/news/articles/cd0elzk24dno,Business
How a long-gone tool built the modern internet,"Before there was TikTok's For You Page, there was a tool that ushered users down online rabbit holes of semi-randomised websites.",2024-12-11,Future,https://www.bbc.com/future/article/20241210-how-stumbleupon-pioneered-the-way-we-use-the-internet,Business
"A $6.2m banana, a crypto empire and Trump's potential conflicts",Trump's expanding business ventures have made it easier than ever for those hoping to influence US policy to steer money his way.,2024-12-08,US & Canada,https://www.bbc.com/news/articles/c4gzz5wdg41o,Business
What happened when India banned TikTok,TikTok was one of India's most popular apps – until it was banned in 2020. It's a lesson for what might unfold if a US ban goes ahead.,2024-12-07,Future,https://www.bbc.com/future/article/20240426-the-ghosts-of-indias-tiktok-social-media-ban,Business
Online star Hawk Tuah girl faces crypto coin criticism,"Haliey Welch's ""Hawk"" digital coin shot up in price then lost 95% of its value just hours after it launched.",2024-12-06,Technology,https://www.bbc.com/news/articles/c89xvjkzzyvo,Business
What is Bitcoin? Key crypto terms and what they mean,A look at some key crypto terms and what they mean.,2024-12-06,US & Canada,https://www.bbc.com/news/world-us-canada-63963079,Business
What next for Bitcoin after bursting $100k barrier?,The rapid increase in price has been attributed to Donald Trump's election victory - can it continue? ,2024-12-05,Technology,https://www.bbc.com/news/articles/cqjz04lv5q9o,Business
Bitcoin surges past $100k for first time,Its record price is making headlines - but that's just one part of the cryptocurrency's tumultuous story.,2024-12-05,Technology,https://www.bbc.com/news/articles/cqj0wkwv1x2o,Business
Bitcoin miner sues over £600m 'lost in tip',James Howells believes the hard drive is now worth about £600m since the recent Bitcoin surge. ,2024-12-04,Wales,https://www.bbc.com/news/articles/c77jx4d5748o,Business
Drilling the deepest holes on Earth,Reaching the geothermal energy far beneath our feet will require digging further into the Earth's crust than ever before.,2024-12-02,Future,https://www.bbc.com/future/article/20241129-drilling-the-deepest-holes-on-earth-how-to-bore-12-miles-into-our-planets-crust,Business
Woman loses £20k through AI investment scam,"Ann Jensen, from Salisbury, was tricked into investing by a deepfake of Prime Minister Keir Starmer.",2024-11-30,Wiltshire,https://www.bbc.com/news/articles/c1wjwdwjdxdo,Business
Crypto entrepreneur eats banana artwork bought for $6.2m,"Justin Sun described Maurizio Cattelan's infamous 2019 work as ""much better than other bananas"".",2024-11-29,Asia,https://www.bbc.com/news/articles/cqj051glrr9o,Business
Could a thermal camera reveal your home's hidden heat loss?,Thermal imaging tech has become cheaper and homeowners are using it to track down heat loss.,2024-11-29,Business,https://www.bbc.com/news/articles/cy9j10wj78wo,Business
Europe's flying taxi dreams falter as cash runs short,Makers of a new generation of European electric aircraft are struggling to raise money.,2024-11-27,Europe,https://www.bbc.com/news/articles/c33em6jrx1go,Business
The existential choices facing small island states,"From erecting seawalls to selling citizenship, vulnerable small islands are taking sometimes drastic measures to protect themselves from rising seas, storms and economic devastation.",2024-11-26,Future,https://www.bbc.com/future/article/20241125-the-sinking-island-states-fighting-climate-change,Business
AI spurs 'revolution' for some visually impaired people,AI services that can describe pictures and scenes are helping the visually impaired.,2024-11-26,Business,https://www.bbc.com/news/articles/cg4lvw6vzkyo,Business
Can AI replicate the human voice? ,Artificial intelligence-powered speech synthesisers can now hold eerily realistic spoken conversations and clone the voices of others. Can we tell them apart from the human voice?,2024-11-25,Future,https://www.bbc.com/future/article/20241122-ai-deepfakes-is-there-something-special-about-the-human-voice,Business
The mighty material that supercharges jet engines,"Hi-tech coatings make all sorts of high performance engineering, like jet engines, possible.",2024-11-22,Business,https://www.bbc.com/news/articles/cj9n1939ryzo,Business
The urgent race to upload Tuvalu to the metaverse,"Facing erasure due to climate change, the Pacific nation is digitally backing up everything, from its houses to its trees.",2024-11-21,Future,https://www.bbc.com/future/article/20241121-tuvalu-the-pacific-islands-creating-a-digital-nation-in-the-metaverse-due-to-climate-change,Business
What could Google monopoly ruling mean for you?,The US government has said it wants 'structural relief' after a judge ruled Google broke the law.,2024-11-21,Technology,https://www.bbc.com/news/articles/cy9eegg0rdvo,Business
China's 'green' game where cheaters thrive,An acclaimed Chinese mobile app was designed to encourage green behaviour. Some of its users are gaming the system.,2024-11-21,Future,https://www.bbc.com/future/article/20241120-chinas-ant-forest-users-cheat-in-game-that-helps-the-climate,Business
Logan Paul accused of misleading fans over crypto investments,New evidence suggests the YouTuber promoted investments without revealing his financial interest in them.,2024-11-20,Technology,https://www.bbc.com/news/articles/cze386d3enpo,Business
Man who binned Bitcoin says it's now worth £500m,James Howells accidentally threw out his hard drive in 2013 and has been searching for it ever since.,2024-11-19,Wales,https://www.bbc.com/news/videos/cly0j32jgkzo,Business
Chocolate makers stoke boom for Indian cocoa beans,"India produces only a tiny fraction of the world's cocoa beans, but that could be changing. ",2024-11-19,Asia,https://www.bbc.com/news/articles/c62g03ln7z4o,Business
How robotaxis are trying to win passengers' trust,"Autonomous vehicles are already clocking up millions of miles on public roads, but they face an uphill battle to convince people to climb in to enjoy the ride.",2024-11-18,Future,https://www.bbc.com/future/article/20241115-how-robotaxis-are-trying-to-win-passengers-trust,Business
US hacker sentenced over Bitcoin heist worth billions,Ilya Lichtenstein laundered the stolen cryptocurrency with his wife Heather Morgan aka Razzlekhan.,2024-11-15,Business,https://www.bbc.com/news/articles/c2dl70wed1lo,Business
"Why Tesla, crypto and prisons are Trump trade winners","As the dust settles on a post-election stock market rally, some firms have already gained.",2024-11-13,Business,https://www.bbc.com/news/articles/czr7kggvzmmo,Business
An energy efficient home - why is it so difficult?,It can be hard to find good advice on how to make homes more energy efficient.,2024-11-12,Business,https://www.bbc.com/news/articles/cqxwjwqw3xdo,Business
"Bitcoin tops record $80,000 as Trump nears sweep of US Congress","On the campaign trail the president-elect pledged to make America ""the crypto capital of the planet"".",2024-11-11,Business,https://www.bbc.com/news/articles/c89v1w5lxxqo,Business
Up close with 300-tonne driverless trucks,"Giant trucks the size of townhouses are being used by large mining firms, to improve safety in a high-stakes job.",2024-11-08,Business,https://www.bbc.com/news/articles/cgej7gzg8l0o,Business
Why colouring clothes has a big environmental impact,Start-up firms are looking for ways to dye clothes using less water and heat.,2024-11-05,Asia,https://www.bbc.com/news/articles/c870j92p82wo,Business
How images alter the way you think,The images we are exposed to on social media and internet websites have a surprising influence on the way we view the world.,2024-11-04,Future,https://www.bbc.com/future/article/20241101-how-online-photos-and-videos-alter-the-way-you-think,Business
Hunt for Bitcoin's elusive creator hits another dead end,Why are we still no closer to unmasking the mysterious Satoshi Nakamoto?,2024-11-03,Technology,https://www.bbc.com/news/articles/c079zp2vy31o,Business
How Google tells you what you want to hear,"Ask the same question two different ways, and Google may have different answers.",2024-11-01,Future,https://www.bbc.com/future/article/20241031-how-google-tells-you-what-you-want-to-hear,Business
"Snapchat most-used app for grooming, says UK charity","NSPCC says UK police data shows people are ""still waiting"" for social media to be made safe,",2024-11-01,Business,https://www.bbc.com/news/articles/cze3p1j710ko,Business
The house paints that promise much more than colour,"Paints now promise to make your house cooler, warmer, or simply peel off.",2024-11-01,Business,https://www.bbc.com/news/articles/ce817156p34o,Business
Why Amazon's latest AI is named after a dog,Amazon has called its latest AI assistant Rufus. But what is the story behind this unusual moniker and how does it compare to the way other AIs have been named?,2024-10-31,Future,https://www.bbc.com/future/article/20241030-the-weird-way-ai-assistants-get-their-names,Business
Russia fines Google more money than there is in entire world,The mind-boggling figure has been levied due to the company restricting Russian state media on YouTube.,2024-10-31,Technology,https://www.bbc.com/news/articles/cdxvnwkl5kgo,Business
What happened on a spooky paranormal investigation in Scotland?,Victorian Strathpeffer Pavilion is said to be haunted by a cast of ghosts.,2024-10-30,Highlands & Islands,https://www.bbc.com/news/articles/cvg3442p966o,Business
The failure that started the internet,"On 29 October 1969, two scientists established a connection between computers some 350 miles away and started typing a message. Halfway through, it crashed.",2024-10-29,Future,https://www.bbc.com/future/article/20241028-the-failure-that-started-the-internet,Business
Can AI make life easier for people with dementia?,AI projects are underway to help ease the challenges of dementia.,2024-10-29,Technology,https://www.bbc.com/news/articles/cqxj700pxpdo,Business
How smartwatches are saving lives,Smartwatches gather vast amounts of data about our physiology. Now their technology is being harnessed like never before.,2024-10-28,Future,https://www.bbc.com/future/article/20241025-the-smartwatches-that-can-predict-parkinsons-disease,Business
The couple who took on Google and cost the tech giant £2bn,"Shivaun Raff and her husband, Adam, describe their long court battle with technology giant Google.",2024-10-27,Business,https://www.bbc.com/news/articles/cjr431lr72jo,Business
The clocks that take hours to wind back,"As British Summer Time ends, Faye Rason begins the long process of winding back 20 antique clocks.",2024-10-26,Business,https://www.bbc.com/news/articles/c6248j078x1o,Business
The software extending the life of your phone,Greener software could make devices last longer and use less electricity.,2024-10-25,Business,https://www.bbc.com/news/articles/c8j7md2kj8vo,Business
Nigeria drops charges against Binance cryptocurrency boss,"Tigran Gambaryan, a US citizen arrested in February, will be allowed abroad to seek medical treatment.",2024-10-24,Africa,https://www.bbc.com/news/articles/c8dmp1jg448o,Business
Will AI make work burnout worse?,There are numerous AI tools to help simplify tasks for workers - but some argue these are instead contributing to employee burnout.,2024-10-23,Business,https://www.bbc.com/news/articles/c93pz1dz2kxo,Business
The AI art redefining creativity,"Artificial intelligence is being used to generate paintings, images and even sculptures, with some selling for thousands of dollars. Do we need to reframe our definition of art?",2024-10-21,Future,https://www.bbc.com/future/article/20241018-ai-art-the-end-of-creativity-or-a-new-movement,Business
How barcodes took over the world,"Few people think twice about barcodes, but in the 75 years since they were first dreamed up, they have helped save lives, gone into space and stoked fears of the Antichrist.",2024-10-20,Future,https://www.bbc.com/future/article/20241018-barcodes-at-75-how-black-and-white-lines-went-into-space-and-stoked-fears-of-the-antichrist,Business
How 1984's The Terminator predicted our AI fears,James Cameron's 1984 blockbuster The Terminator starring Arnold Schwarzenegger has become synonymous with the dangers of superintelligent machines - but why?,2024-10-18,Culture,https://www.bbc.com/culture/article/20241017-the-terminator-how-james-camerons-science-fiction-slasher-film-predicted-our-anxieties-about-ai,Business
Why scientists are drilling into volcanos,"In Iceland, scientists are seeking to understand magma and push geothermal energy to new frontiers.",2024-10-18,Europe,https://www.bbc.com/news/articles/c1e8q4j1yygo,Business
Why there's a rush of African satellite launches,Falling launch costs have given African nations a chance to send their own satellites into orbit.,2024-10-15,Africa,https://www.bbc.com/news/articles/c4gvnym0j0xo,Business
Sweden's heavy goods trucks are going electric,"Find out how Sweden, one of the world's biggest truck manufacturers, is trying to make the switch to electric.",2024-10-12,Technology of Business,https://www.bbc.com/reel/video/p0jws5bb/sweden-s-heavy-goods-trucks-are-going-electric,Business
Meet the team paid to break into top-secret bases,Hear from the team who test security by breaking into secure military facilities.,2024-10-11,Technology,https://www.bbc.com/news/articles/c8el64yyppro,Business
Man denies running illegal cryptocurrency business,Habibur Rahman was charged with running the machine without registration from the FCA.,2024-10-11,England,https://www.bbc.com/news/articles/cz04e232dk1o,Business
Rare insights from inside a hurricane's eye,"The centre of a hurricane is the focus of its power. But for scientists and early-responders, it can also offer life-saving opportunities.",2024-10-10,Future,https://www.bbc.com/future/article/20240911-the-scientists-and-chasers-seeking-insights-inside-the-eye-of-the-most-powerful-storms,Business
When an AI companion wants something more,"With a loneliness epidemic gripping many parts of the world, some people are turning to AI chatbots for friendship and relationships. But is it really all just harmless fun?",2024-10-09,Future,https://www.bbc.com/future/article/20241008-the-troubling-future-of-ai-relationships,Business
What hurricane categories get wrong,Scientists are racing to update the imperfect system we rely on to warn just how deadly a storm will be.,2024-10-08,Future,https://www.bbc.com/future/article/20240822-why-we-need-a-better-way-to-measure-hurricanes,Business
Could you switch careers into cyber-security?,Cyber-security includes a range of roles that all aim to protect organisations and their technology from cyber-attacks.,2024-10-08,Business,https://www.bbc.com/news/articles/c1m0ylerjevo,Business
Customers of failed crypto firm FTX set for refunds,The agreement will put an end to a saga that started when the firm went bankrupt in November 2022.,2024-10-08,Business,https://www.bbc.com/news/articles/c0qz3dg21vqo,Business
Call for home solar panels instead of solar farms,"Viewer says it is ""madness"" to build solar farms when new homes did not have panels installed.",2024-10-06,Suffolk,https://www.bbc.com/news/articles/cy430qpez81o,Business
Tracking turtles during the 'lost years',"Marine turtles spend almost their entire lives at sea – but little is known about the paths they take. Now, satellites are helping scientists map their movements.",2024-10-06,Future,https://www.bbc.com/future/article/20241001-how-satellites-are-mapping-the-future-of-turtle-conservation,Business
Tackling digital threats to the US election,BBC reporter Marc Cieslak explores a high-security hub monitoring digital threats ahead of the US election. ,2024-10-05,Technology,https://www.bbc.com/reel/video/p0jvjglz/inside-the-high-security-facility-tackling-digital-threats,Business
"How Duolingo became so addicting, according to its CEO","Perhaps no app has mastered user loyalty quite like Duolingo, the gamified language-learning platform 34 million people a day can't put down.",2024-10-05,Business,https://www.bbc.com/worklife/article/20241004-the-simple-formula-that-made-duolingo-a-daily-habit-for-millions,Business
Airlines look to cut time spent on the tarmac,Airlines are hoping to cut waiting times by using AI to allocate gates at airports.,2024-10-04,Business,https://www.bbc.com/news/articles/c80e54yjzdmo,Business
The race to electrify the pickup truck,What will it take for America's best-loved vehicle to go electric?,2024-10-02,Future,https://www.bbc.com/future/article/20241002-the-us-race-to-release-electric-pickup-trucks,Business
How tech creates hidden work for women,"When it comes to using digital technology for both work and family, women are at greater risk than men of 'digital overload'.",2024-10-01,Future,https://www.bbc.com/future/article/20240930-how-technology-creates-hidden-work-for-women,Business
Worker shortage hampers datacentre boom,Despite offering high pay companies that build datacentres are struggling to find skilled staff.,2024-10-01,Technology,https://www.bbc.com/news/articles/c24pvm8ly18o,Business
The UK coal plant that became a giant battery,"With the closure of the last coal-fired power station in the UK, it raises questions about how old fossil fuel infrastructure can be repurposed.",2024-09-30,Future,https://www.bbc.com/future/article/20240927-how-coal-fired-power-stations-are-being-turned-into-batteries,Business
Guernsey Post plan for crypto stamps scrapped,"The collection was considered a virtual asset and could not be released, Guernsey Post says.",2024-09-27,Guernsey,https://www.bbc.com/news/articles/cyvym6gyvd7o,Business
How pen and paper comes to the rescue in an IT crisis,Firms are advised to practise operating with pens and paper in case of a computer meltdown.,2024-09-27,Business,https://www.bbc.com/news/articles/ce9zx22ley8o,Business
How cat memes went viral 100 years ago,"""Some things persist across generations and media, and depictions of cats are one of those things. It's kind of reassuring,"" says Ben Weiss, a senior curator at the Boston Museum of Fine Arts, and co-curator of the museum's The Postcard Age exhibition.",2024-09-25,Future,https://www.bbc.com/future/article/20240923-100-year-old-cat-memes-that-predate-the-internet,Business
Crypto world hoping for Trump election win,Crypto currency firms are waiting to see how November's vote will impact upon them.,2024-09-25,US & Canada,https://www.bbc.com/news/articles/c0lwgn9p8z4o,Business
Caroline Ellison sentenced to two years for role in FTX crypto fraud,"Ellison testified as a star witness against her ex-boyfriend and FTX's founder, Sam Bankman-Fried.",2024-09-25,US & Canada,https://www.bbc.com/news/articles/cdd4e2931q3o,Business
The feud that brought electricity to New York,"When electricity was first rolled out in New York in the late 19th Century, sparks flew between competitors. Today, the city is attempting to complete its electric evolution.",2024-09-24,Future,https://www.bbc.com/future/article/20240923-the-feud-at-the-beginning-of-new-yorks-electricity,Business
Tigers and crocs make mangrove preservation tough work,To help preserve mangrove forests researchers have to take on demanding field work.,2024-09-24,Asia,https://www.bbc.com/news/articles/crrldyvqe4xo,Business
When robots can't riddle,"AI runs unfathomable operations on billions of lines of text, handling problems that humans can't dream of solving – but you can probably still trounce it at brain teasers.",2024-09-23,Future,https://www.bbc.com/future/article/20240912-what-riddles-teach-us-about-the-human-mind,Business
US says Israel hasn't breached its law against blocking aid in Gaza,"Officials say Israel has taken some steps to meet a US demand for more supplies to enter Gaza, but aid agencies say conditions have actually worsened.",2024-11-13,Middle East,https://www.bbc.com/news/articles/cvgej83z93qo,Middle East
"Israeli strikes in Mount Lebanon villages kill 23, ministry says",The strikes reportedly destroyed residential buildings where displaced families were living.,2024-11-13,Middle East,https://www.bbc.com/news/articles/c86q5qeqxldo,Middle East
Saudi crown prince says Israel committing 'genocide' in Gaza,Mohamed Bin Salman was speaking at the opening of a summit of Muslim and Arab leaders in Riyadh.,2024-11-12,Middle East,https://www.bbc.com/news/articles/cp8x5570514o,Middle East
Optimism and uncertainty at summit as Middle East awaits Trump’s return,"As heads of Arab and Islamic states meet in Riyadh, Trump's victory raises questions for the region. ",2024-11-11,World,https://www.bbc.com/news/articles/czr71nr723no,Middle East
US jury awards $42m to ex-detainees at Iraq's Abu Ghraib,A Virginia-based defence contractor is found liable for the abuse of three former prisoners. ,2024-11-13,World,https://www.bbc.com/news/articles/cn4v1ydkj04o,Middle East
"Israel has missed US deadline to boost Gaza aid, UN agency says",But Israel says it has greatly increased deliveries since being warned of cuts to military assistance.,2024-11-12,Middle East,https://www.bbc.com/news/articles/c8rl0v76nxyo,Middle East
Houthis attack US warships after US strikes in Yemen,"The navy destroyers were unharmed and repelled the attack, the Pentagon said.",2024-11-13,World,https://www.bbc.com/news/articles/c1knpnlp1leo,Middle East
"Israeli strikes on north Lebanon and Gaza kill dozens, officials and rescuers say","At least 20 children are among the dead in attacks north of Beirut and in northern Gaza, officials rescuers and medics say.",2024-11-10,Middle East,https://www.bbc.com/news/articles/cd6v3zq2jvjo,Middle East
Qatar suspends role as mediator between Israel and Hamas,The move comes after US officials were quoted saying they would not accept Hamas's presence in Qatar.,2024-11-09,Middle East,https://www.bbc.com/news/articles/c774d4p2mx6o,Middle East
"We must not turn blind eye to antisemitism, says Dutch king after attacks on Israeli football fans",Willem-Alexander says Jewish people must feel safe in the Netherlands after Israeli football supporters come under attack.,2024-11-09,Europe,https://www.bbc.com/news/articles/cx2y33ee1klo,Middle East
"Nearly 70% of Gaza war dead are women and children, UN says",A UN agency verified victims from a six-month period and said it found international law violations.,2024-11-08,Middle East,https://www.bbc.com/news/articles/cn5wel11pgdo,Middle East
Gaza’s top Islamic scholar issues fatwa criticising 7 October attack,"It is an embarrassing critique for Hamas, which has used religious arguments to  justify its actions.",2024-11-08,Middle East,https://www.bbc.com/news/articles/cj4vw1l8xvdo,Middle East
Easy-fit prosthetics offer hope to thousands of Gaza amputees,"Children are among the thousands to have lost limbs in Gaza, forcing them to learn a new way of life.",2024-11-08,Middle East,https://www.bbc.com/news/articles/c624zz6m1kvo,Middle East
No guarantees Trump will give Netanyahu all he wants,"Trump's win has been welcomed by Israel but the change he brings may not be to its liking, writes Lucy Williamson.",2024-11-08,World,https://www.bbc.com/news/articles/cq6lm62vm7zo,Middle East
What is Israel’s strategy in targeting Hezbollah’s civilian network?,"Israel says its targets are legitimate, but critics say it is aiming at Hezbollah's social base.",2024-11-07,Middle East,https://www.bbc.com/news/articles/c89v72q71d3o,Middle East
'We are not military - why are we being hit?',"In the Lebanese city of Nabatieh, Orla Guerin meets hospital patients and medics vowing to stay despite Israeli strikes.",2024-11-04,Middle East,https://www.bbc.com/news/articles/c4gzp91wl66o,Middle East
How Israelis and Palestinians see the US election,Harris or Trump? The BBC's Lucy Williamson in Jerusalem assesses who Israelis and Palestinians want to win.,2024-10-31,World,https://www.bbc.com/news/articles/cx2yv9k3mpmo,Middle East
Projectiles seen in sky over Tehran,"Israel says it has conducted ""precise strikes on military targets"" in Iran.",2024-10-26,Middle East,https://www.bbc.com/news/videos/cjw0d5l5x16o,Middle East
BBC tours hospital Israel says sits above millions in Hezbollah gold,The BBC’s Orla Guerin is taken on a tour of Al Sahel Hospital in Beirut.,2024-10-22,Middle East,https://www.bbc.com/news/videos/c9818n8v7d8o,Middle East
BBC Verify analyses footage of Hamas leader Yahya Sinwar's killing,The BBC's analysis editor Ros Atkins looks at footage said to show Yahya Sinwar's final moments.,2024-10-19,Middle East,https://www.bbc.com/news/videos/cj9jkvrg1kjo,Middle East
"‘I say bye to my kids, in case we don’t wake up’ – two Gazans film a year under attack by Israel","Over the past year, Aya and Khalid have been filming their lives for a BBC documentary.",2024-10-15,Middle East,https://www.bbc.com/news/videos/c4g5jxky8q0o,Middle East
Netanyahu says focus on hostages after Sinwar death,"Sinwar, who topped Israel's most-wanted list, was a key figure believed to have been behind the 7 October attacks. ",2024-10-18,Middle East,https://www.bbc.com/news/videos/c5y8lnqrv2go,Middle East
"Israeli bombing puts ancient ruins at risk, archaeologists warn",Roman ruins in Lebanon lie just a short distance from sites that have been hit by Israeli air strikes.,2024-11-08,Middle East,https://www.bbc.com/news/articles/c86qp55q3vyo,Middle East
"Israel passes law to deport relatives of attackers, including citizens","Opponents say the legislation, which would apply to close family members, is unconstitutional.",2024-11-07,Middle East,https://www.bbc.com/news/articles/c1mlp9xdxl1o,Middle East
Israeli strikes kill at least 40 in east Lebanon - health ministry,"An Israeli official said the strikes, in the Baalbek and Bekaa regions, targeted Hezbollah operatives.",2024-11-07,Middle East,https://www.bbc.com/news/articles/crr9q249pveo,Middle East
Israel's Netanyahu shows who calls the shots with Gallant sacking,The PM's decision to replace his defence minister follows sharp disagreements over Israel's war strategy.,2024-11-06,Middle East,https://www.bbc.com/news/articles/clyvl72zdzqo,Middle East
Protests erupt in Israel after Netanyahu fires defence minister,"Benjamin Netanyahu says there is a ""crisis of trust"" between him and Yoav Gallant, and replaces him with Israel Katz.",2024-11-06,Middle East,https://www.bbc.com/news/articles/cqj07jdzzgno,Middle East
Chaos and destruction as Israel strikes deep in Lebanon’s valley,The BBC's Quentin Sommerville spent two weeks with Lebanese Civil Defense Force crews in the Bekaa Valley.,2024-11-05,Middle East,https://www.bbc.com/news/articles/c36p55j598lo,Middle East
"Netanyahu aide leaks may have harmed hostage talks, court says",A top Netanyahu aide was among those arrested and investigated over leaked and falsified documents.,2024-11-05,Middle East,https://www.bbc.com/news/articles/cd9n02xxexko,Middle East
Iran urged to release woman detained after undressing at university,"Activists say the woman was protesting against the hijab laws, but authorities say she is mentally ill.",2024-11-05,Middle East,https://www.bbc.com/news/articles/c9vngeezwvno,Middle East
Gaza polio vaccinations to resume after WHO reports strike on clinic,The UN agency says six people were hurt without saying who was responsible - Israel denied carrying it out.,2024-11-03,Middle East,https://www.bbc.com/news/articles/cm2mnlg43k4o,Middle East
Israel says Hezbollah operative captured in naval raid,The office of Lebanese Prime Minister Najib Mikati said the country would submit a complaint to the UN Security Council. ,2024-11-03,Middle East,https://www.bbc.com/news/articles/cm2zeyvpnkxo,Middle East
Iran's supreme leader says enemies will receive 'crushing response',"The threat comes a week after Israel attacked Iran, raising fears that retaliation will escalate to war.",2024-11-02,Middle East,https://www.bbc.com/news/articles/ce3yqzx72zno,Middle East
What happened to the young girl captured in a photograph of Gaza detainees,"Julia, aged three, looks on from a crowd of fearful and exhausted men. This is her story.",2024-11-01,Middle East,https://www.bbc.com/news/articles/cx2l5e4pe1go,Middle East
Seven killed in Israel in deadliest Hezbollah rocket strikes in months,"They were killed in two areas, in the deadliest series of rocket attacks on Israel in months.",2024-11-01,Middle East,https://www.bbc.com/news/articles/ce8yjr3zyz8o,Middle East
Israel strikes historic Lebanese city of Baalbek after ordering evacuation,Tens of thousands flee as the Israeli military says it struck fuel depots belonging to Hezbollah.,2024-10-31,Middle East,https://www.bbc.com/news/articles/crez85y20zvo,Middle East
