title,subtitle,date,category,link,main_category
Trump repeats baseless claim about Haitian immigrants eating pets ,"Donald Trump claimed immigrants in a small Ohio city were eating pets, but there’s no proof of this.",2024-09-16,BBC Verify,https://www.bbc.com/news/articles/c77l28myezko,BBC Verify
Satellite images show how Israel is paving key Gaza road,BBC Verify looks at roadwork that analysts say shows Israel is unlikely to fully withdraw from Gaza any time soon.,2024-09-07,BBC Verify,https://www.bbc.com/news/articles/cewlqpk9e99o,BBC Verify
Kamala Harris convention speech fact-checked,"BBC Verify has looked into some of the claims made by Kamala Harris at the DNC in Chicago.
",2024-08-23,BBC Verify,https://www.bbc.com/news/articles/clyw1l4lgnlo,BBC Verify
Six Kamala Harris claims fact-checked,"BBC Verify examined claims made by Harris, about her record and Trump's on the economy, abortion and immigration.",2024-08-21,BBC Verify,https://www.bbc.com/news/articles/c785n2n9334o,BBC Verify
BMW set upon and Asian men inside attacked - how violence surged in one UK city,Footage of an angry crowd swarming around a car and targeting its occupants is analysed by BBC Verify.,2024-08-06,BBC Verify,https://www.bbc.com/news/articles/cj622z0w7n0o,BBC Verify
Violent Southport protests reveal organising tactics of the far-right,"Online influencers, rather than formal leaders, are mobilising the extreme right on the streets.",2024-08-02,BBC Verify,https://www.bbc.com/news/articles/cl4y0453nv5o,BBC Verify
What's the new government's housebuilding target?,"The target, set out in the 2024 Labour manifesto, is for 1.5 million new homes over the next parliament.",2024-08-02,Reality Check,https://www.bbc.com/news/61407508,BBC Verify
Southport stabbing: How the knife attack unfolded,BBC Verify pieces together a timeline of how a stabbing attack unfolded at a Taylor Swift-themed class in a UK town.,2024-07-31,BBC Verify,https://www.bbc.com/news/videos/cjjw5g9010yo,BBC Verify
Can I trust my weather app?,Warnings for rain have been issued in the UK today and the details are on our weather app. Here's a guide how to get the most from it.,2024-07-15,Reality Check,https://www.bbc.com/news/59638765,BBC Verify
"Retirement tax, net zero, small boats - BBC Verify tests key claims",The Conservative and Labour leaders have taken audience questions in a live BBC debate. Here their claims are fact-checked.,2024-06-27,BBC Verify,https://www.bbc.com/news/articles/c2xx0x20p2lo,BBC Verify
Is Rishi Sunak keeping his five key promises?,The prime minister said five priorities should be used to hold his government to account.,2024-06-17,Reality Check,https://www.bbc.com/news/65647308,BBC Verify
Seven-party BBC election debate fact-checked,"BBC Verify examines claims on tax, defence, NHS and immigration",2024-06-08,BBC Verify,https://www.bbc.com/news/articles/c255py21x52o,BBC Verify
How is China helping out sanctioned Russia?,"Vladimir Putin visits Beijing this week, as it faces accusations of supporting Moscow's war in Ukraine.",2024-05-17,Reality Check,https://www.bbc.com/news/60571253,BBC Verify
Is the UK on track to meet its climate targets?,The government's climate advisers warn the UK risks falling behind on efforts to reach net zero by 2050.,2024-05-03,Reality Check,https://www.bbc.com/news/58160547,BBC Verify
What is levelling up and who is it helping?,"The government has awarded funding to projects across the country as part of its ""levelling up"" plan.",2024-03-16,Reality Check,https://www.bbc.com/news/56238260,BBC Verify
Why some parents effectively pay a 71% tax rate,"Officially, the highest tax rate is 45% - but some workers can end up paying higher effective rates.",2024-03-06,Reality Check,https://www.bbc.com/news/58870012,BBC Verify
Why more parents are losing child benefit,More parents are losing child benefit because the threshold at which it starts being withdrawn has not changed in 10 years.,2024-03-02,Reality Check,https://www.bbc.com/news/64836315,BBC Verify
Benefits falling behind rising cost of living,New data suggests that the cost of living has been rising faster than official inflation figures.,2023-12-05,Reality Check,https://www.bbc.com/news/67616610,BBC Verify
The Taliban's broken promises,"Access to education, jobs and public spaces for women have all been curtailed under Taliban rule.",2023-08-15,Reality Check,https://www.bbc.com/news/62469204,BBC Verify
